target,method,label,n,nugget_share,rmse,mae,bias,wrong_side,n_near8,wrong_near8,naive_near8,improvement_pp
mean 1996-2000 (common wells),nn,nearest neighbour,1223,0.417086207099947,4.18730106449919,2.73457822294903,-0.0141091578086672,0.242845461978741,377,0.374005305039788,0.3342175066313,-0.0397877984084881
mean 1996-2000 (common wells),idw2,IDW power 2,1223,0.417086207099947,3.37431789700653,2.25944745817409,-0.0160443922326347,0.221586263286999,377,0.347480106100796,0.3342175066313,-0.013262599469496
mean 1996-2000 (common wells),ok,ordinary kriging,1223,0.417086207099947,3.38711969222868,2.31920620056382,-0.000892928536804581,0.239574816026165,377,0.376657824933687,0.3342175066313,-0.0424403183023873
May 1996 only (common wells),nn,nearest neighbour,1223,0.204918322957127,4.379312018236,3.01575633687653,0.0511774325429272,0.276369582992641,391,0.391304347826087,0.368286445012788,-0.0230179028132992
May 1996 only (common wells),idw2,IDW power 2,1223,0.204918322957127,3.59250849853243,2.49147612167561,0.00108035706757755,0.245298446443173,391,0.378516624040921,0.368286445012788,-0.010230179028133
May 1996 only (common wells),ok,ordinary kriging,1223,0.204918322957127,3.53683106080383,2.468530228142,-0.00285190204315907,0.25102207686018,391,0.391304347826087,0.368286445012788,-0.0230179028132992
