terme,Estimate,Std. Error,t value,Pr(>|t|)
clsBasalt,0.117852675815485,0.445111749896186,0.264770983563053,0.793650741910702
clsCharnockite,-1.63538214305484,1.02979376042786,-1.58806763635408,0.126540413708518
clsGneiss,-0.519115497723813,0.778488161504287,-0.666825166256501,0.511817424814626
clsIntrusive,-0.608673791759767,0.801360023219137,-0.759550980986883,0.455585482952824
clsLimestone,1.20679201623985,0.361189235025231,3.34116274577106,0.00295823352719334
clsQuartzite,-0.17155300967233,0.739317322361237,-0.232042459284496,0.818649907133472
clsSandstone,-1.71963338569539,0.400524442002824,-4.29345429481495,0.000294624610047783
clsSchist,-0.0141803604944477,0.984125719800037,-0.0144090944979357,0.988633478683904
clsShale,0.970674882317968,0.552149300669587,1.75799350128822,0.0926553233956851
elev,0.00745536563615654,0.00173666075350401,4.29293148999542,0.000295001251460554
slope_win,-0.0705764562184961,0.0450552443114628,-1.56644264828768,0.131516944446783
relelev_win,0.00335178683071701,0.00835994217648464,0.400934212218013,0.692335939613587
soil_ph,0.444779232111704,0.330259307856422,1.34675759783603,0.191769406572312
soil_oc,-0.291476246393959,0.743104094762419,-0.392241475250042,0.698653992149064
