target,method,label,n,nugget_share,rmse,mae,bias,wrong_side,n_near8,wrong_near8,naive_near8,improvement_pp
mean 1996-2000,nn,nearest neighbour,1309,0.417086207099947,4.25672758417451,2.76798803157627,0.0224517443340973,0.246753246753247,406,0.37192118226601,0.339901477832512,-0.0320197044334976
mean 1996-2000,idw2,IDW power 2,1309,0.417086207099947,3.39491467562155,2.26565438545541,0.0172877284536569,0.222307104660046,406,0.344827586206897,0.339901477832512,-0.00492610837438429
mean 1996-2000,ok,ordinary kriging,1309,0.417086207099947,3.37621555495724,2.32097203722501,0.00952849812486125,0.240641711229947,406,0.381773399014778,0.339901477832512,-0.041871921182266
May 1996 only,nn,nearest neighbour,1223,0.204918322957127,4.379312018236,3.01575633687653,0.0511774325429272,0.276369582992641,391,0.391304347826087,0.368286445012788,-0.0230179028132992
May 1996 only,idw2,IDW power 2,1223,0.204918322957127,3.59250849853243,2.49147612167561,0.00108035706757755,0.245298446443173,391,0.378516624040921,0.368286445012788,-0.010230179028133
May 1996 only,ok,ordinary kriging,1223,0.204918322957127,3.53683106080383,2.468530228142,-0.00285190204315907,0.25102207686018,391,0.391304347826087,0.368286445012788,-0.0230179028132992
