vintage,scale,model,nugget,psill,range_km,sserr
may1996,depth,Exp,4.50594763821954,17.4830456992005,29.6835269773312,0.000104488587637957
may2000,depth,Exp,10.1583667738436,14.1674883885723,61.1142185405273,5.93221141242753e-05
may1996,log(depth),Exp,0.0993908092773322,0.176599789114727,22.430260332328,7.82854180078116e-09
may2000,log(depth),Exp,0.106683353961883,0.1687164268623,20.946940604215,1.00450199938826e-08
