vintage,method,n,coverage95,mean_se
may1996,ok,1223,0.933769419460343,3.21612453493687
may2000,ok,1309,0.954163483575248,3.67373043300473
may1996,ok_log,1223,0.94766966475879,
may2000,ok_log,1309,0.951107715813598,
