vintage,source,n,10%,25%,50%,75%,90%
may1996,LOO: held-out well to nearest remaining well,1223,3.64406967188012,5.55143529913485,7.96138692137082,10.1803398413418,12.416548620916
may1996,UP shrid centroid to nearest well,98604,2.3509179136366,3.83496130622087,5.87508482500104,8.63240286164428,12.5464592809914
may2000,LOO: held-out well to nearest remaining well,1309,3.51038785147225,5.40758668166058,7.9377954390195,10.0992148853001,12.122593701222
may2000,UP shrid centroid to nearest well,98604,2.29559438731499,3.71951472382082,5.66898158499521,8.19468036019319,11.5674578375155
